UMRTV,#genre#
无线新闻1a,http://172.96.250.37:83/hk.php?id=0 
无线新闻1b,http://172.96.250.37:83/hk.php?id=1
无线新闻2,http://live.cooltv.top/tv/tvb.php?id=0&hq
无线新闻3,http://sc2022.stream-link.org/tv2306.php?id=h04
无线新闻4,https://epg.pw/stream/19d1cd44fca23238190d5ada7b08552382bf391f77d6b4348f3e3ae56afe7c9f.m3u8
凤凰资讯HD,https://epg.pw/stream/679055deefd5d79a19efa07d9c82b326995f4f568f98f2917f444a458af574e1.m3u8
凤凰资讯1,http://qspyx.7766.org:9999/tsfile/live/1105_1.m3u8
凤凰资讯2,http://udnhls.skilldns.com/fhzx.m3u8
凤凰资讯3,http://r.jdshipin.com/0Rp07
凤凰资讯4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
TVBS-亚洲1(港IP),http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS-亚洲2(港IP),http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS-亚洲3(港IP),http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS新闻1,rtmp://219.80.97.77/sat/tv551
TVBS新闻2,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻3,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻4,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻5,https://ytm2.yuanhsing.cf/TVBSNEWS01.m3u8
TVBS新闻6,http://139.180.210.242/php/youtube.php?id=2mCSYvcfhtc
有线新闻直播1,https://api.leonardpark.dev/live/icable/110
有线新闻直播2,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/hd110_h.live/playlist.m3u8
